,题名,作者,来源,发表时间,数据库,被引,下载,操作
41,"('糖尿病性视网膜病变的治疗进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TRgVmBHxymx9W3-x3DYpyoLlGgX60EM-1MGDg0lracN54apcFe9ZjYILDz7opGbvtynucq5c60zJlvwdS3XrFxzdTYoDKErZkg_LQa2Y70Z2vzunKhzO_CSqzK9ZJdaugsZUePW5vYLA==&uniplatform=NZKPT&language=CHS')",熊慧;鲁占军;王额尔敦;晓琴,内蒙古民族大学学报(自然科学版),2020-03-15,期刊,2,618,下载  HTML阅读
42,"('Th1、Th2和Th17型细胞因子水平与糖尿病视网膜病变的相关性研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4TRgVmBHxymx9W3-x3DYpyoLlGgX60EM-1-qUsZDMKKQPgJVvlrc0y7dgIavmGc_sDvfp3dUpxT0IFo5gNARU3seK2mS0KmPK_R3rBYxIA2VDiK8pIp_ov9wfroIfLv2lxPFxcGakw5QQ==&uniplatform=NZKPT&language=CHS')",沈雨;吴苗琴,眼科新进展,2020-02-05,期刊,9,473,下载  HTML阅读
43,"('活血化瘀法应用于糖尿病视网膜病变研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QqMlDM6CkCp3jk5xAk5FT8gZTvR593NLmT1_Njpfu6sUK4zssmuxn8XUbsceRZTgKa7zngBdGJRFzBroUWQzAMPnrVCvY38lM641XV0NlzyPQf2z__-VX1HYHToRAd5XRmaKz_kQDmkw==&uniplatform=NZKPT&language=CHS')",周晶;吴琪琪;杨宇峰;石岩,辽宁中医药大学学报,2019-12-04,期刊,21,744,下载  HTML阅读
44,"('扶阳学说治疗糖尿病视网膜病变研究概述  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RhApcH27CKYmryeTk6rMIcVD7DpaPY8ifCqOcOyszQlwvUBG0VSQwXvGAk4PuEyHVGZeYBwbzt0f7aB7wo74dB9IA8Zs9QtCHcH_2PYWohqbVLCfr_k9flddsmFvUU3QrwaIl-AXG5qg==&uniplatform=NZKPT&language=CHS')",胡婷婷;罗向霞;康莉;贾琼;邰银萍,新中医,2019-11-05,期刊,5,267,下载  HTML阅读
45,"('中医治疗非增殖期糖尿病视网膜病变研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RhApcH27CKYmryeTk6rMIcVD7DpaPY8ifO7Jv2XebJbODmVfXO9wbe0wd-L19gvoH0n5I66UZVjToBDkg1O8ZRZIEGDDYDaLVUvmZWhpQxHihBiufd2iQsKzVfbadGoPLtbFAnkttP0Q==&uniplatform=NZKPT&language=CHS')",马英琦;黄延芹;徐云生,河北中医,2019-07-29 07:00,期刊,21,764,下载  HTML阅读
46,"('二甲双胍改善糖尿病视网膜病变机制研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4QrG3Nb4r0_y_QAUJbsr_eW-GR_Tz6z5EsnH0_WSoBc8OcwVQJUkfilAvDXneRQqM2vIUASZ5LRIr6Not2dkDyIx9PhO_XYq1rsuxoV541HyOLXqtsVyJssrbl5xq6e-XDNAQTbwboOCQ==&uniplatform=NZKPT&language=CHS')",苏萌;白惠玲;孔宝焕;李正红;刘勤,中国临床药理学杂志,2019-07-28,期刊,14,452,下载  HTML阅读
47,"('糖尿病视网膜病变流行病学及中医药研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3yd9QYevwHVSLnAKVkNvfe9wyYKNPzQFry73YMxhu1L7WQsNVNHOVzGjR09HKLVV38BWx6v7YFUFcL3l17JQ1hxPmlGPO1db3ZE5LvUH2AdDvm2ec941jjbYCWoEyk0Yxo06xEvfN4Q==&uniplatform=NZKPT&language=CHS')",赵晓玲;徐灿坤;杨清峰,世界最新医学信息文摘,2019-07-23,期刊,15,1110,下载  HTML阅读
48,"('糖尿病视网膜病变的中医临床治疗进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4T3yd9QYevwHVSLnAKVkNvfe9wyYKNPzQHHjShTs7EXzYc2VmIJTqPRLWdURzNtOA3U004BbnSPpBogvFuaYctUBr8TeLBVkkMpPBFXT52zfE_itKGToQxP-SH8RPD7-if5yOP98I1u5w==&uniplatform=NZKPT&language=CHS')",倪妙玲;金智生,中医研究,2019-07-10,期刊,19,1019,下载  HTML阅读
49,"('糖尿病肾病与糖尿病视网膜病变的相关性研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4Q7bI8e_FSbxT5pQZbnYbuhChsoe09DqgCs8EUMMsnXdcRwAQo8DP8EKlVznegyDwWU4qs28ZZIBahy3W8WoN-sJKyKbAQxf5uAVyQumS4_g-HTy6ccooiMBHfcgsvCJvXsZ7a4pUKf5A==&uniplatform=NZKPT&language=CHS')",成海梅;张利;陈香美,中华肾病研究电子杂志,2019-04-28,期刊,61,950,下载  HTML阅读
50,"('糖尿病视网膜病变的诊断和治疗:2016-2018年最新研究进展  免费', 'https://kns.cnki.net/kcms2/article/abstract?v=HR7ide6_o4RS-YLwqkGr-ttwyOJE8G224f7ziEv80HFEAVjVWC_XvUkHFKF1JiIIg7Jzn6Z81aZsE5GYAofnz6OrLUwW1RdwZVPF6ZrHOQdOsQR1-KBdI1BlyPXFKqXXy05vbXcOAEn4CoDTQpQDJA==&uniplatform=NZKPT&language=CHS')",张佳慧;陈晓隆,眼科新进展,2018-12-05 15:07,期刊,36,1386,下载  HTML阅读
